movie_id,title,genres,release_year,clean_title,genre_Action,genre_Adventure,genre_Animation,genre_Children's,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Fantasy,genre_Film-Noir,genre_Horror,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Thriller,genre_War,genre_Western,genre_list
1,Toy Story (1995),Animation|Children's|Comedy,1995,Toy Story,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Animation', ""Children's"", 'Comedy']"
2,Jumanji (1995),Adventure|Children's|Fantasy,1995,Jumanji,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['Adventure', ""Children's"", 'Fantasy']"
3,Grumpier Old Men (1995),Comedy|Romance,1995,Grumpier Old Men,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"['Comedy', 'Romance']"
4,Waiting to Exhale (1995),Comedy|Drama,1995,Waiting to Exhale,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"['Comedy', 'Drama']"
5,Father of the Bride Part II (1995),Comedy,1995,Father of the Bride Part II,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['Comedy']
6,Heat (1995),Action|Crime|Thriller,1995,Heat,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"['Action', 'Crime', 'Thriller']"
7,Sabrina (1995),Comedy|Romance,1995,Sabrina,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"['Comedy', 'Romance']"
8,Tom and Huck (1995),Adventure|Children's,1995,Tom and Huck,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Adventure', ""Children's""]"
9,Sudden Death (1995),Action,1995,Sudden Death,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Action']
10,GoldenEye (1995),Action|Adventure|Thriller,1995,GoldenEye,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['Action', 'Adventure', 'Thriller']"
11,"American President, The (1995)",Comedy|Drama|Romance,1995,"American President, The",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,"['Comedy', 'Drama', 'Romance']"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,Dracula: Dead and Loving It,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"['Comedy', 'Horror']"
13,Balto (1995),Animation|Children's,1995,Balto,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Animation', ""Children's""]"
14,Nixon (1995),Drama,1995,Nixon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Drama']
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,Cutthroat Island,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"['Action', 'Adventure', 'Romance']"
16,Casino (1995),Drama|Thriller,1995,Casino,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"['Drama', 'Thriller']"
17,Sense and Sensibility (1995),Drama|Romance,1995,Sense and Sensibility,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"['Drama', 'Romance']"
18,Four Rooms (1995),Thriller,1995,Four Rooms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,['Thriller']
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,Ace Ventura: When Nature Calls,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['Comedy']
20,Money Train (1995),Action,1995,Money Train,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Action']
21,Get Shorty (1995),Action|Comedy|Drama,1995,Get Shorty,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"['Action', 'Comedy', 'Drama']"
22,Copycat (1995),Crime|Drama|Thriller,1995,Copycat,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,"['Crime', 'Drama', 'Thriller']"
23,Assassins (1995),Thriller,1995,Assassins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,['Thriller']
24,Powder (1995),Drama|Sci-Fi,1995,Powder,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Drama', 'Sci-Fi']"
25,Leaving Las Vegas (1995),Drama|Romance,1995,Leaving Las Vegas,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"['Drama', 'Romance']"
26,Othello (1995),Drama,1995,Othello,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Drama']
27,Now and Then (1995),Drama,1995,Now and Then,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Drama']
28,Persuasion (1995),Romance,1995,Persuasion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['Romance']
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,1995,"City of Lost Children, The",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Adventure', 'Sci-Fi']"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,1995,Shanghai Triad (Yao a yao yao dao waipo qiao),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Drama']
31,Dangerous Minds (1995),Drama,1995,Dangerous Minds,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Drama']
